Id,Relation
6896,Expansion
6897,Expansion
6898,Expansion
6899,Expansion
6900,Expansion
6901,Expansion
6902,Comparison
6903,Comparison
6904,Expansion
6905,Expansion
6906,Expansion
6907,Expansion
6908,Contingency
6909,Comparison
6910,Expansion
6911,Expansion
6912,Expansion
6913,Expansion
6914,Comparison
6915,Expansion
6916,Expansion
6917,Expansion
6918,Expansion
6919,Expansion
6920,Comparison
6921,Expansion
6922,Comparison
6923,Expansion
6924,Temporal
6925,Expansion
6926,Temporal
6927,Contingency
6928,Comparison
6929,Expansion
6930,Expansion
6931,Comparison
6932,Expansion
6933,Comparison
6934,Expansion
6935,Expansion
6936,Expansion
6937,Expansion
6938,Temporal
6939,Comparison
6940,Contingency
6941,Expansion
6942,Comparison
6943,Contingency
6944,Expansion
6945,Temporal
6946,Comparison
6947,Comparison
6948,Expansion
6949,Comparison
6950,Expansion
6951,Expansion
6952,Expansion
6953,Expansion
6954,Expansion
6955,Expansion
6956,Expansion
6957,Contingency
6958,Temporal
6959,Expansion
6960,Temporal
6961,Temporal
6962,Expansion
6963,Temporal
6964,Expansion
6965,Expansion
6966,Contingency
6967,Temporal
6968,Expansion
6969,Expansion
6970,Expansion
6971,Temporal
6972,Expansion
6973,Expansion
6974,Expansion
6975,Expansion
6976,Expansion
6977,Expansion
6978,Comparison
6979,Expansion
6980,Expansion
6981,Expansion
6982,Expansion
6983,Comparison
6984,Expansion
6985,Temporal
6986,Contingency
6987,Expansion
6988,Expansion
6989,Contingency
6990,Expansion
6991,Temporal
6992,Expansion
6993,Contingency
6994,Expansion
6995,Expansion
6996,Expansion
6997,Expansion
6998,Comparison
6999,Expansion
7000,Expansion
7001,Expansion
7002,Expansion
7003,Expansion
7004,Expansion
7005,Expansion
7006,Comparison
7007,Expansion
7008,Expansion
7009,Expansion
7010,Temporal
7011,Expansion
7012,Expansion
7013,Expansion
7014,Expansion
7015,Expansion
7016,Comparison
7017,Expansion
7018,Expansion
7019,Expansion
7020,Expansion
7021,Expansion
7022,Temporal
7023,Expansion
7024,Expansion
7025,Expansion
7026,Expansion
7027,Expansion
7028,Expansion
7029,Expansion
7030,Expansion
7031,Expansion
7032,Expansion
7033,Comparison
7034,Expansion
7035,Expansion
7036,Expansion
7037,Expansion
7038,Expansion
7039,Expansion
7040,Expansion
7041,Comparison
7042,Expansion
7043,Expansion
7044,Comparison
7045,Expansion
7046,Comparison
7047,Expansion
7048,Expansion
7049,Temporal
7050,Expansion
7051,Expansion
7052,Expansion
7053,Expansion
7054,Expansion
7055,Comparison
7056,Temporal
7057,Comparison
7058,Contingency
7059,Expansion
7060,Expansion
7061,Contingency
7062,Comparison
7063,Expansion
7064,Expansion
7065,Expansion
7066,Comparison
7067,Contingency
7068,Comparison
7069,Comparison
7070,Expansion
7071,Comparison
7072,Contingency
7073,Contingency
7074,Expansion
7075,Expansion
7076,Expansion
7077,Comparison
7078,Comparison
7079,Expansion
7080,Contingency
7081,Expansion
7082,Temporal
7083,Expansion
7084,Expansion
7085,Expansion
7086,Expansion
7087,Expansion
7088,Expansion
7089,Expansion
7090,Expansion
7091,Expansion
7092,Expansion
7093,Expansion
7094,Expansion
7095,Expansion
7096,Expansion
7097,Temporal
7098,Expansion
7099,Comparison
7100,Expansion
7101,Temporal
7102,Expansion
7103,Expansion
7104,Expansion
7105,Temporal
7106,Expansion
7107,Contingency
7108,Temporal
7109,Expansion
7110,Expansion
7111,Expansion
7112,Temporal
7113,Comparison
7114,Expansion
7115,Expansion
7116,Expansion
7117,Comparison
7118,Expansion
7119,Contingency
7120,Expansion
7121,Contingency
7122,Contingency
7123,Contingency
7124,Expansion
7125,Expansion
7126,Temporal
7127,Expansion
7128,Expansion
7129,Expansion
7130,Expansion
7131,Expansion
7132,Expansion
7133,Expansion
7134,Expansion
7135,Expansion
7136,Expansion
7137,Expansion
7138,Expansion
7139,Contingency
7140,Contingency
7141,Expansion
7142,Contingency
7143,Temporal
7144,Expansion
7145,Expansion
7146,Expansion
7147,Comparison
7148,Contingency
7149,Expansion
7150,Expansion
7151,Expansion
7152,Contingency
7153,Contingency
7154,Expansion
7155,Expansion
7156,Expansion
7157,Expansion
7158,Expansion
7159,Expansion
7160,Temporal
7161,Contingency
7162,Contingency
7163,Expansion
7164,Expansion
7165,Expansion
7166,Expansion
7167,Expansion
7168,Expansion
7169,Expansion
7170,Contingency
7171,Comparison
7172,Temporal
7173,Expansion
7174,Expansion
7175,Expansion
7176,Comparison
7177,Comparison
7178,Expansion
7179,Comparison
7180,Comparison
7181,Expansion
7182,Expansion
7183,Contingency
7184,Expansion
7185,Expansion
7186,Expansion
7187,Expansion
7188,Comparison
7189,Expansion
7190,Expansion
7191,Expansion
7192,Expansion
7193,Expansion
7194,Comparison
7195,Expansion
7196,Temporal
7197,Expansion
7198,Expansion
7199,Expansion
7200,Expansion
7201,Expansion
7202,Temporal
7203,Temporal
7204,Expansion
7205,Expansion
7206,Temporal
7207,Expansion
7208,Expansion
7209,Expansion
7210,Comparison
7211,Expansion
7212,Expansion
7213,Expansion
7214,Expansion
7215,Contingency
7216,Expansion
7217,Expansion
7218,Temporal
7219,Temporal
7220,Expansion
7221,Expansion
7222,Expansion
7223,Comparison
7224,Expansion
7225,Temporal
7226,Expansion
7227,Expansion
7228,Expansion
7229,Temporal
7230,Comparison
7231,Expansion
7232,Contingency
7233,Expansion
7234,Expansion
7235,Expansion
7236,Expansion
7237,Expansion
7238,Expansion
7239,Temporal
7240,Temporal
7241,Expansion
7242,Expansion
7243,Comparison
7244,Expansion
7245,Expansion
7246,Comparison
7247,Contingency
7248,Comparison
7249,Expansion
7250,Expansion
7251,Expansion
7252,Contingency
7253,Contingency
7254,Expansion
7255,Comparison
7256,Contingency
7257,Comparison
7258,Expansion
7259,Expansion
7260,Comparison
7261,Expansion
7262,Contingency
7263,Expansion
7264,Temporal
7265,Expansion
7266,Expansion
7267,Expansion
7268,Expansion
7269,Expansion
7270,Expansion
7271,Expansion
7272,Expansion
7273,Expansion
7274,Temporal
7275,Temporal
7276,Expansion
7277,Comparison
7278,Temporal
7279,Expansion
7280,Temporal
7281,Contingency
7282,Expansion
7283,Temporal
7284,Temporal
7285,Contingency
7286,Expansion
7287,Contingency
7288,Expansion
7289,Expansion
7290,Expansion
7291,Expansion
7292,Expansion
7293,Expansion
7294,Expansion
7295,Contingency
7296,Temporal
7297,Expansion
7298,Expansion
7299,Expansion
7300,Temporal
7301,Expansion
7302,Contingency
7303,Comparison
7304,Expansion
7305,Expansion
7306,Expansion
7307,Expansion
7308,Expansion
7309,Expansion
7310,Contingency
7311,Temporal
7312,Expansion
7313,Contingency
7314,Expansion
7315,Temporal
7316,Expansion
7317,Expansion
7318,Expansion
7319,Contingency
7320,Expansion
7321,Contingency
7322,Temporal
7323,Expansion
7324,Expansion
7325,Expansion
7326,Expansion
7327,Expansion
7328,Temporal
7329,Expansion
7330,Expansion
7331,Expansion
7332,Expansion
7333,Temporal
7334,Expansion
7335,Contingency
7336,Comparison
7337,Expansion
7338,Expansion
7339,Contingency
7340,Expansion
7341,Contingency
7342,Contingency
7343,Expansion
7344,Expansion
7345,Comparison
7346,Expansion
7347,Temporal
7348,Comparison
7349,Contingency
7350,Expansion
7351,Temporal
7352,Expansion
7353,Expansion
7354,Contingency
7355,Expansion
7356,Expansion
7357,Expansion
7358,Contingency
7359,Expansion
7360,Expansion
7361,Temporal
7362,Comparison
7363,Temporal
7364,Temporal
7365,Expansion
7366,Expansion
7367,Expansion
7368,Expansion
7369,Expansion
7370,Expansion
7371,Contingency
7372,Contingency
7373,Expansion
7374,Contingency
7375,Contingency
7376,Expansion
7377,Temporal
7378,Expansion
7379,Expansion
7380,Expansion
7381,Contingency
7382,Expansion
7383,Contingency
7384,Expansion
7385,Expansion
7386,Expansion
7387,Expansion
7388,Expansion
7389,Temporal
7390,Expansion
7391,Temporal
7392,Expansion
7393,Expansion
7394,Expansion
7395,Comparison
7396,Expansion
7397,Expansion
7398,Comparison
7399,Expansion
7400,Expansion
7401,Expansion
7402,Expansion
7403,Temporal
7404,Expansion
7405,Expansion
7406,Expansion
7407,Expansion
7408,Expansion
7409,Expansion
7410,Expansion
7411,Comparison
7412,Expansion
7413,Expansion
7414,Comparison
7415,Temporal
7416,Temporal
7417,Expansion
7418,Expansion
7419,Temporal
7420,Expansion
7421,Expansion
7422,Contingency
7423,Temporal
7424,Expansion
7425,Expansion
7426,Expansion
7427,Temporal
7428,Expansion
7429,Temporal
7430,Temporal
7431,Expansion
7432,Expansion
7433,Comparison
7434,Expansion
7435,Expansion
7436,Expansion
7437,Comparison
7438,Comparison
7439,Expansion
7440,Expansion
7441,Expansion
7442,Expansion
7443,Expansion
7444,Expansion
7445,Expansion
7446,Expansion
7447,Contingency
7448,Expansion
7449,Temporal
7450,Expansion
7451,Expansion
7452,Expansion
7453,Expansion
7454,Comparison
7455,Contingency
7456,Temporal
7457,Expansion
7458,Expansion
7459,Temporal
7460,Expansion
7461,Temporal
7462,Expansion
7463,Expansion
7464,Comparison
7465,Comparison
7466,Contingency
7467,Contingency
7468,Expansion
7469,Expansion
7470,Expansion
7471,Comparison
7472,Expansion
7473,Expansion
7474,Temporal
7475,Expansion
7476,Contingency
7477,Comparison
7478,Expansion
7479,Contingency
7480,Contingency
7481,Expansion
7482,Expansion
7483,Expansion
7484,Expansion
7485,Expansion
7486,Expansion
7487,Expansion
7488,Comparison
7489,Contingency
7490,Temporal
7491,Expansion
7492,Expansion
7493,Expansion
7494,Expansion
7495,Expansion
7496,Expansion
7497,Expansion
7498,Contingency
7499,Expansion
7500,Contingency
7501,Expansion
7502,Contingency
7503,Expansion
7504,Expansion
7505,Contingency
7506,Comparison
7507,Expansion
7508,Expansion
7509,Expansion
7510,Expansion
7511,Expansion
7512,Contingency
7513,Expansion
7514,Temporal
7515,Temporal
7516,Temporal
7517,Contingency
7518,Expansion
7519,Expansion
7520,Expansion
7521,Expansion
7522,Temporal
7523,Expansion
7524,Comparison
7525,Expansion
7526,Temporal
7527,Expansion
7528,Expansion
7529,Expansion
7530,Comparison
7531,Expansion
7532,Expansion
7533,Expansion
7534,Expansion
7535,Expansion
7536,Expansion
7537,Expansion
7538,Contingency
7539,Expansion
7540,Expansion
7541,Expansion
7542,Expansion
7543,Expansion
7544,Expansion
7545,Comparison
7546,Temporal
7547,Comparison
7548,Expansion
7549,Expansion
7550,Expansion
7551,Contingency
7552,Expansion
7553,Expansion
7554,Contingency
7555,Temporal
7556,Expansion
7557,Expansion
7558,Expansion
7559,Comparison
7560,Expansion
7561,Expansion
7562,Expansion
7563,Expansion
7564,Temporal
7565,Expansion
7566,Comparison
7567,Expansion
7568,Expansion
7569,Comparison
7570,Expansion
7571,Temporal
7572,Comparison
7573,Expansion
7574,Expansion
7575,Comparison
7576,Expansion
7577,Contingency
7578,Comparison
7579,Expansion
7580,Expansion
7581,Expansion
7582,Contingency
7583,Expansion
7584,Expansion
7585,Temporal
7586,Expansion
7587,Expansion
7588,Comparison
7589,Expansion
7590,Expansion
7591,Expansion
7592,Expansion
7593,Contingency
7594,Contingency
7595,Contingency
7596,Expansion
7597,Comparison
7598,Expansion
7599,Expansion
7600,Contingency
7601,Expansion
7602,Expansion
7603,Expansion
7604,Expansion
7605,Expansion
7606,Expansion
7607,Expansion
7608,Comparison
7609,Comparison
7610,Expansion
7611,Expansion
7612,Expansion
7613,Expansion
7614,Expansion
7615,Expansion
7616,Expansion
7617,Expansion
7618,Expansion
7619,Expansion
7620,Temporal
7621,Temporal
7622,Expansion
7623,Expansion
7624,Comparison
7625,Temporal
7626,Expansion
7627,Expansion
7628,Expansion
7629,Expansion
7630,Expansion
7631,Contingency
7632,Expansion
7633,Expansion
7634,Comparison
7635,Contingency
7636,Expansion
7637,Expansion
7638,Expansion
